0|viali    | 6:55:31 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 38ms :: {"id":…
0|viali    | 6:55:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 90ms :: {"id":…
0|viali    | 6:55:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 200 in 25ms :: {"id":…
0|viali    | 6:55:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 43ms :: {"id":…
0|viali    | 6:55:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 200 in 57ms :: {"id":…
0|viali    | 6:55:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 22ms :: {"id":…
0|viali    | 6:55:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 53ms :: {"id":…
0|viali    | 6:55:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 23ms :: {"id":…
0|viali    | 6:55:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 20ms :: {"id":…
0|viali    | 6:55:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 29ms :: {"id":…
0|viali    | 6:55:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 19ms :: {"id":…
0|viali    | 6:55:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 21ms :: {"id":…
0|viali    | 6:55:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 22ms :: {"id":…
0|viali    | 6:55:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 19ms :: {"id":…
0|viali    | 6:55:59 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 21ms :: {"id":…
0|viali    | 6:56:01 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 24ms :: {"id":…
0|viali    | 6:56:40 AM [express] GET /api/hospitals/fa075bd9-793d-450b-9a32-b33f8c712726/bulk-import-limit 304 i…
0|viali    | 6:56:40 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 200 in 21ms :: {"id":…
0|viali    | 6:56:42 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 38ms :: {"id":…
0|viali    | 6:56:45 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 32ms :: {"id":…
0|viali    | 6:56:47 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 40ms :: {"id":…
0|viali    | 6:56:49 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 26ms :: {"id":…
0|viali    | 6:56:51 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 30ms :: {"id":…
0|viali    | 6:56:53 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 23ms :: {"id":…
0|viali    | 6:56:55 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 28ms :: {"id":…
0|viali    | 6:56:57 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 21ms :: {"id":…
0|viali    | 6:56:59 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 22ms :: {"id":…
0|viali    | 6:57:01 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 32ms :: {"id":…
0|viali    | 6:57:03 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 24ms :: {"id":…
0|viali    | 6:57:05 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 25ms :: {"id":…
0|viali    | 6:57:07 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 30ms :: {"id":…
0|viali    | 6:57:09 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 24ms :: {"id":…
0|viali    | 6:57:11 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 21ms :: {"id":…
0|viali    | 6:57:13 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 26ms :: {"id":…
0|viali    | 7:05:55 AM [express] GET /api/hospitals/fa075bd9-793d-450b-9a32-b33f8c712726/bulk-import-limit 304 i…
0|viali    | 7:05:58 AM [express] GET /api/hospitals/fa075bd9-793d-450b-9a32-b33f8c712726/bulk-import-limit 304 i…
0|viali    | 7:05:58 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 29ms :: {"id":…
0|viali    | 7:05:59 AM [express] GET /api/hospitals/fa075bd9-793d-450b-9a32-b33f8c712726/bulk-import-limit 304 i…
0|viali    | 7:06:00 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 35ms :: {"id":…
0|viali    | 7:06:02 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 55ms :: {"id":…
0|viali    | 7:06:04 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 26ms :: {"id":…
0|viali    | 7:06:06 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 24ms :: {"id":…
0|viali    | 7:06:06 AM [express] GET /api/hospitals/fa075bd9-793d-450b-9a32-b33f8c712726/bulk-import-limit 304 i…
0|viali    | 7:06:08 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 27ms :: {"id":…
0|viali    | 7:06:10 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 32ms :: {"id":…
0|viali    | 7:06:12 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 22ms :: {"id":…
0|viali    | 7:06:14 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 23ms :: {"id":…
0|viali    | 7:06:16 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 30ms :: {"id":…
0|viali    | 7:07:06 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 79ms :: {"id":…
0|viali    | 7:07:31 AM [express] GET /api/import-jobs/6d8f3178-4103-40c6-a4b4-9276ab313f7a 304 in 63ms :: {"id":…

